Food,URL,ExtractedPrice,PricePerAmount,ExtractedProteinPer100g,ExtractedKJPer100g,ProteinPer100g,KJPer100g,CaloriesPer100g,ProteinPer100Calorie,PoundsPer (String),PoundsPer,PerAmount,PoundsPer100g,Price,MultiplesOf100g,perEach/per100g,TotalCalories,TotalProtein,RankWeighting,TimesEaten,PoundsPer1000Calorie,Checked,Available,Ignore
School Of Wok Gyoza Kit Ginger & Garlic,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/school-of-wok-gyoza-kit-ginger-garlic,ï¿½2.35,ï¿½1.09 / 100g,9.2g,1131kj/267 kcal,9.2,1131,270.3154876,3.403430592,ï¿½1.09 ,1.09, 100g,1.09,2.35,2.155963303,,582.7902714,19.83486239,,,4.032325376,,,
No. 1 Living Kombucha Ginger with Turmeric 750ml,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/no1-living-s-free-ginger-kombucha-750ml,ï¿½3.25,43p / 100ml,0,6 Kcal,0,25.104,6,0,43p ,0.43, 100ml,0.43,3.25,7.558139535,,45.34883721,0,,,71.66666667,,,
Nix&kix Blood Orange & Turmeric 250ml,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/nix-kix-blood-orange-turmeric-250ml,ï¿½1.00,40p / 100ml,0.1g,/76kJ,0.1,76,18.16443595,0.550526316,40p ,0.4, 100ml,0.4,1,2.5,,45.41108987,0.25,,,22.02105263,,,
No.1 Living Sugar Free Kombucha Raspberry with Pomegranate 250ml,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/no1-living-raspberry-kombucha-250ml,ï¿½1.50,60p / 100ml,0.2 g,6 Kcal,0.2,25.104,6,3.333333333,60p ,0.6, 100ml,0.6,1.5,2.5,,15,0.5,,,100,,,
Future Farm Plant Based Sausage 250g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/future-farm-sausage-250g,ï¿½3.90,ï¿½15.60 / kg,11 g,278 kcal = 1163 kJ,11,1163,277.9636711,3.957351677,ï¿½15.60 ,15.6, kg,1.56,3.9,2.5,,694.9091778,27.5,,,5.612244196,,,
The Real Olive Company Organic Nocellara Del Belice Olives 210g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/the-real-olive-company-organic-nocellara-del-belice-olives-210g,ï¿½3.35,ï¿½1.60 / 100g,0,838kJ/202kcal,0,838,200.2868069,0,ï¿½1.60 ,1.6, 100g,1.6,3.35,2.09375,,419.3505019,0,,,7.988544153,,,
Smashed Pale Ale 0% 4x330ml,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/smashed-pale-ale-0-4x330ml,ï¿½5.50,ï¿½4.17 / ltr,0.3g,16.6kCal,0.3,25.104,6,5,ï¿½4.17 ,4.17, ltr,0.417,5.5,13.18944844,,79.13669065,3.956834532,,,69.5,,,
Bloom Gin Passionfruit Soda 275ml,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/bloom-gin-passionfruit-soda-275ml,ï¿½2.50,ï¿½9.09 / ltr,0,240 kJ,0,240,57.36137667,0,ï¿½9.09 ,9.09, ltr,0.909,2.5,2.750275028,,157.7595618,0,,,15.8469,,,
No. 1 Living Water Kefir Strawberry with Rhubarb 750ml,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/no1-living-water-kefir-strawberry-750ml,ï¿½3.25,43p / 100ml,0,1 Kcal,0,4.184,1,0,43p ,0.43, 100ml,0.43,3.25,7.558139535,,7.558139535,0,,,430,,,
No.1 Living Water Kefir Strawberry 330ml,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/no1-living-water-kefir-strawberry-330ml,ï¿½2.00,61p / 100ml,0,44228,0,44228,10570.7457,0,61p ,0.61, 100ml,0.61,2,3.278688525,,34658.18262,0,,,0.05770643,,,
