Food,URL,ExtractedPrice,PricePerAmount,ExtractedProteinPer100g,ExtractedKJPer100g,ProteinPer100g,KJPer100g,CaloriesPer100g,ProteinPer100Calorie,PoundsPer (String),PoundsPer,PerAmount,PoundsPer100g,Price,MultiplesOf100g,perEach/per100g,TotalCalories,TotalProtein,RankWeighting,TimesEaten,PoundsPer1000Calorie,Checked,Available,Ignore
Triple Distilled Vodka 1.5L,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-vodka-15l,ï¿½22.40,ï¿½14.93 / ltr,0g,860kJ/206kcal,0,860,205.5449331,0,ï¿½14.93 ,14.93, ltr,1.493,22.4,15.00334896,,3083.862358,0,,,7.263618605,,,
Schweppes Bitter Lemon Slimline 1L,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/schweppes-bitter-lemon--slimline-1l,ï¿½1.50,15p / 100ml,0g,9kJ/,0,9,2.151051625,0,15p ,0.15, 100ml,0.15,1.5,10,,21.51051625,0,,,69.73333333,,,
Sainsbury's Fairtrade Demerara Cane Sugar 2kg,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-fairtrade-demerara-cane-sugar-2kg,ï¿½2.50,ï¿½1.25 / kg,0g,1690kJ,0,1690,403.9196941,0,ï¿½1.25 ,1.25, kg,0.125,2.5,20,,8078.393882,0,,,0.309467456,,,
Sainsbury's Pickled Onions in Vinegar 440g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-pickled-onions-465g,70p,35p / 100g,0,172kJ,0,172,41.10898662,0,35p ,0.35, 100g,0.35,0.7,2,,82.21797323,0,,,8.513953488,,,
Robinsons Fruit Creations Delicious Peach & Raspberry Squash 1L,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/robinsons-fruit-creations-delicious-peach-raspberry-squash-1l,ï¿½1.50,15p / 100ml,0g,11kJ/3kcal,0,11,2.629063098,0,15p ,0.15, 100ml,0.15,1.5,10,,26.29063098,0,,,57.05454545,,,
Sainsbury's Sweet Chilli Sauce 345g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-sweet-chilli-sauce-345g,ï¿½1.20,36p / 100g,0,753kJ,0,753,179.9713193,0,36p ,0.36, 100g,0.36,1.2,3.333333333,,599.9043977,0,,,2.000318725,,,
Sainsbury's Silverskin Onions in Vinegar 465g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-silverskin-onions-465g,70p,27p / 100g,0,106kJ,0,106,25.33460803,0,27p ,0.27, 100g,0.27,0.7,2.592592593,,65.68231712,0,,,10.65735849,,,
Sainsbury's Breakfast Juice 1L,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-breakfast-juice-1l,90p,9p / 100ml,0,181kJ,0,181,43.26003824,0,9p ,0.09, 100ml,0.09,0.9,10,,432.6003824,0,,,2.080441989,,,
Bottlegreen Pomegranate & Elderflower Light Sparkling Presse Drink 750ml,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/bottlegreen-pomegranate---elderflower-presse--sparkling-75cl,ï¿½1.75,23p / 100ml,0g,84kJ/20kcal,0,84,20.07648184,0,23p ,0.23, 100ml,0.23,1.75,7.608695652,,152.7558401,0,,,11.45619048,,,
Sainsbury's Sweet Chilli & Garlic Stir Fry Sauce 120g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-sweet-chilli---ginger-stir-fry-sauce-120g,50p,42p / 100g,0,457kJ,0,457,109.2256214,0,42p ,0.42, 100g,0.42,0.5,1.19047619,,130.0305017,0,,,3.845251641,,,
Flora ProActiv Spread 250g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/flora-pro-activ-250g,ï¿½2.10,ï¿½8.40 / kg,0,1294kJ/315kcal,0,1294,309.2734226,0,ï¿½8.40 ,8.4, kg,0.84,2.1,2.5,,773.1835564,0,,,2.716043277,,,
Sainsbury's Sweet & Sour Stir Fry Sauce 120g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-sweet---sour-stir-fry-sauce-120g,50p,42p / 100g,0,511kJ,0,511,122.1319312,0,42p ,0.42, 100g,0.42,0.5,1.19047619,,145.3951562,0,,,3.43890411,,,
Sainsbury's Apple Juice SO Organic 1L,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-apple-juice--so-organic-1l,ï¿½2.50,25p / 100ml,0,187kJ,0,187,44.69407266,0,25p ,0.25, 100ml,0.25,2.5,10,,446.9407266,0,,,5.593582888,,,
Sainsbury's Rice Vinegar 150ml,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-rice-vinegar-150ml,ï¿½1.85,ï¿½1.23 / 100ml,0,50kJ,0,50,11.95028681,0,ï¿½1.23 ,1.23, 100ml,1.23,1.85,1.504065041,,17.97400861,0,,,102.9264,,,
Coca-Cola Original Taste 500ml,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/coca-cola-500ml,ï¿½1.60,32p / 100ml,0g,180kJ,0,180,43.02103251,0,32p ,0.32, 100ml,0.32,1.6,5,,215.1051625,0,,,7.438222222,,,
Sainsbury's Fruit and Barley Peach No added Sugar 1L,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-fruit-and-barley-peach-no-added-sugar-1l,85p,9p / 100ml,0,10kJ,0,10,2.390057361,0,9p ,0.09, 100ml,0.09,0.85,9.444444444,,22.57276397,0,,,37.656,,,
Robinsons Fruit Creations & Barley Crisp Apple & Elderflower Squash 1L,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/robinsons-fruit-creations---barley-crisp-apple---elderflower-squash-1l,ï¿½1.50,15p / 100ml,0g,13kJ/3kcal,0,13,3.10707457,0,15p ,0.15, 100ml,0.15,1.5,10,,31.0707457,0,,,48.27692308,,,
Tango Orange Cans 6x330ml,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/tango-orange-6x330ml,ï¿½2.25,11p / 100ml,0g,80kJ/19kcal,0,80,19.12045889,0,11p ,0.11, 100ml,0.11,2.25,20.45454545,,391.1002955,0,,,5.753,,,
Bare Naked Noodles 250g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/bare-naked-noodles-380g,ï¿½2.00,80p / 100g,0,50kJ/12kcal,0,50,11.95028681,0,80p ,0.8, 100g,0.8,2,2.5,,29.87571702,0,,,66.944,,,
Robinsons Mini Summer Fruitsï¿½No Added Sugar Squash 66ml,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/robinsons-squash-summer-fruits-66ml,ï¿½2.00,ï¿½3.03 / 100ml,0g,5kJ/1kcal,0,5,1.195028681,0,ï¿½3.03 ,3.03, 100ml,3.03,2,0.660066007,,0.788797809,0,,,2535.504,,,
Sainsbury's Cherry Juice Drink 1L,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-cherry-juice-drink-1l,ï¿½1.30,13p / 100ml,0,71kJ,0,71,16.96940727,0,13p ,0.13, 100ml,0.13,1.3,10,,169.6940727,0,,,7.66084507,,,
Sainsbury's Jalapenos 200g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-jalapenos-200g-7909969-p-44,ï¿½1.00,50p / 100g,0,90kJ,0,90,21.51051625,0,50p ,0.5, 100g,0.5,1,2,,43.02103251,0,,,23.24444444,,,
Robinsons Mini Apple & Blackcurrantï¿½No Added Sugar Squash 66ml,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/robinsons-squash-apple---blackcurrent-66ml,ï¿½2.00,ï¿½3.03 / 100ml,0g,4kJ/0.9kcal,0,4,0.956022945,0,ï¿½3.03 ,3.03, 100ml,3.03,2,0.660066007,,0.631038247,0,,,3169.38,,,
Diet Coke 12x330ml,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/diet-coke-12x330ml-7517073-p-44,ï¿½4.80,12p / 100ml,0g,1.6kJ,0,6,1.434034417,0,12p ,0.12, 100ml,0.12,4.8,40,,57.36137667,0,,,83.68,,,
Sainsbury's Smooth Apple Sauce 250ml,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-smooth-apple-sauce-250ml,60p,24p / 100ml,0,570kJ,0,570,136.2332696,0,24p ,0.24, 100ml,0.24,0.6,2.5,,340.583174,0,,,1.761684211,,,
Sainsbury's Jalapenos 200g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-jalapenos-200g,ï¿½1.00,50p / 100g,0,90kJ,0,90,21.51051625,0,50p ,0.5, 100g,0.5,1,2,,43.02103251,0,,,23.24444444,,,
Hubbard's Foodstore Brown Sauce 450g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-brown-sauce--basics-450g,45p,10p / 100g,0,319kJ,0,319,76.24282983,0,10p ,0.1, 100g,0.1,0.45,4.5,,343.0927342,0,,,1.311598746,,,
Sainsbury's Orange Marmalade Medium Cut 454g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-orange-marmalade--medium-cut-454g,60p,13p / 100g,0,1152kJ,0,1152,275.334608,0,13p ,0.13, 100g,0.13,0.6,4.615384615,,1270.775114,0,,,0.472152778,,,
Coca-Cola 10x330ml,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/coca-cola-10x330ml,ï¿½5.00,15p / 100ml,0g,180kJ,0,180,43.02103251,0,15p ,0.15, 100ml,0.15,5,33.33333333,,1434.034417,0,,,3.486666667,,,
Skittles Fruits Sweets Family Size Pouch Bag 196g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/skittles-fruits-sweets-196g,ï¿½1.35,69p / 100g,0 g,1683 kJ,0,1683,402.2466539,0,69p ,0.69, 100g,0.69,1.35,1.956521739,,787.0043229,0,,,1.715365419,,,
Sainsbury's Vodka 70cl,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-vodka--basics-70cl,ï¿½9.75,ï¿½13.93 / ltr,0g,860kJ/206kcal,0,860,205.5449331,0,ï¿½13.93 ,13.93, ltr,1.393,9.75,6.999282125,,1438.666976,0,,,6.777106977,,,
Fruit Shoot Apple Kids Juice Drink 8x200ml,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/robinsons-fruit-shoot-apple--low-sugar-8x200ml,ï¿½2.00,13p / 100ml,0g,25kJ/6kcal,0,25,5.975143404,0,13p ,0.13, 100ml,0.13,2,15.38461538,,91.92528313,0,,,21.7568,,,
J2O Orange & Passion Fruit Juice Drink 10x275ml,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/j2o-orange---passion-fruit-blended-juice-drink-10x275ml,ï¿½8.00,29p / 100ml,0g,97kJ/23kcal,0,97,23.18355641,0,29p ,0.29, 100ml,0.29,8,27.5862069,,639.5463836,0,,,12.50886598,,,
Sainsbury's Ginger Preserve 454g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-ginger-preserve-454g,ï¿½1.05,23p / 100g,0,1231kJ,0,1231,294.2160612,0,23p ,0.23, 100g,0.23,1.05,4.565217391,,1343.160279,0,,,0.781738424,,,
Hubbard's Pasta Sauce 440g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-pasta-sauce--basics-440g,39p,9p / 100g,0,135kJ,0,135,32.26577438,0,9p ,0.09, 100g,0.09,0.39,4.333333333,,139.8183556,0,,,2.789333333,,,
Sainsbury's Tropical Juice Drink No Added Sugar 2L,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-tropical-fruit-juice--no-added-sugar-2l,ï¿½1.09,5p / 100ml,0,28kJ,0,28,6.692160612,0,5p ,0.05, 100ml,0.05,1.09,21.8,,145.8891013,0,,,7.471428571,,,
Fox's Glacier Fruit 200g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/foxs-glacier-fruit-200g,ï¿½1.00,50p / 100g,0 g,1621 kJ/381 kcal,0,1621,387.4282983,0,50p ,0.5, 100g,0.5,1,2,,774.8565966,0,,,1.290561382,,,
Sainsbury's Apple & Mango Juice Not From Concentrate 1.75L,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-apple---mango-juice--not-from-concentrate-175l,ï¿½2.00,ï¿½1.14 / ltr,0,219kJ,0,219,52.34225621,0,ï¿½1.14 ,1.14, ltr,0.114,2,17.54385965,,918.2851967,0,,,2.177972603,,,
Sainsbury's High Juice Squash Pink Grapefruit No added Sugar 1L,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-high-juice-squash-pink-grapefruit-no-added-sugar-1l,ï¿½1.35,14p / 100ml,0g,32kJ,0,32,7.648183556,0,14p ,0.14, 100ml,0.14,1.35,9.642857143,,73.75034144,0,,,18.305,,,
Coca-Cola Zero Sugar 500ml,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/coke-zero-500ml,ï¿½1.45,29p / 100ml,0g,1.4kJ,0,4,0.956022945,0,29p ,0.29, 100ml,0.29,1.45,5,,4.780114723,0,,,303.34,,,
Sainsbury's Olive Oil 2L,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-olive-oil-2l,ï¿½5.70,29p / 100ml,0g,3384kJ,0,3384,808.7954111,0,29p ,0.29, 100ml,0.29,5.7,19.65517241,,15897.01325,0,,,0.35855792,,,
Coca-Cola Classic Bottles 4x250ml (Sugar levy applied),https://www.sainsburys.co.uk/shop/gb/groceries/product/details/coca-cola-4x250ml,ï¿½2.80,28p / 100ml,0g,180kJ,0,180,43.02103251,0,28p ,0.28, 100ml,0.28,2.8,10,,430.2103251,0,,,6.508444444,,,
Sainsbury's Fruit and Barley Orange No added Sugar 1L,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-fruit-and-barley-orange-no-added-sugar-1l,85p,9p / 100ml,0,16kJ,0,16,3.824091778,0,9p ,0.09, 100ml,0.09,0.85,9.444444444,,36.11642235,0,,,23.535,,,
Sainsbury's Apple & Pear Juice Drink No Added Sugar 1L,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-no-added-sugar-apple---pear-juice-1l,90p,9p / 100ml,0,89kJ,0,89,21.27151052,0,9p ,0.09, 100ml,0.09,0.9,10,,212.7151052,0,,,4.231011236,,,
Fentimans Rose Lemonade 275ml (Sugar levy applied),https://www.sainsburys.co.uk/shop/gb/groceries/product/details/fentimans-rose-lemonade275ml,ï¿½1.30,47p / 100ml,0g,176kJ / 41kcal,0,176,42.06500956,0,47p ,0.47, 100ml,0.47,1.3,2.765957447,,116.3500264,0,,,11.17318182,,,
Sainsbury's Raspberries in Light Syrup 300g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-raspberries-in-light-syrup-300g,ï¿½1.05,95p / 100g,0,251kJ,0,251,59.99043977,0,95p ,0.95, 100g,0.95,1.05,1.105263158,,66.3052229,0,,,15.83585657,,,
Sainsbury's London Dry Gin 70cl,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-gin--basics-70cl,ï¿½9.99,ï¿½14.27 / ltr,0g,858kJ/207kcal,0,858,205.0669216,0,ï¿½14.27 ,14.27, ltr,1.427,9.99,7.000700771,,1435.612156,0,,,6.958703963,,,
Sainsbury's Fairtrade Cane Sugar SO Organic 500g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-fairtrade-organic-cane-sugar-500g,ï¿½1.40,ï¿½2.80 / kg,0g,1699kJ,0,1699,406.0707457,0,ï¿½2.80 ,2.8, kg,0.28,1.4,5,,2030.353729,0,,,0.689535021,,,
Sainsburys Brandy 70cl,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-brandy--basics-70cl,ï¿½10.79,ï¿½15.41 / ltr,0g,824kJ,0,824,196.9407266,0,ï¿½15.41 ,15.41, ltr,1.541,10.79,7.001946788,,1378.968488,0,,,7.82468932,,,
Hollow & Bourne London Dry Gin 1.5L,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-dry-london-gin-15l,ï¿½22.40,ï¿½14.93 / ltr,0g,862kJ,0,862,206.0229446,0,ï¿½14.93 ,14.93, ltr,1.493,22.4,15.00334896,,3091.034131,0,,,7.246765661,,,
Sainsbury's Diet Cola 6x330ml,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-diet-cola-6x330ml,ï¿½1.65,8p / 100ml,0g,4kJ,0,4,0.956022945,0,8p ,0.08, 100ml,0.08,1.65,20.625,,19.71797323,0,,,83.68,,,
Sainsbury's Dandelion & Burdock Diet x6 330ml,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-dandelion---burdock-diet-x6-330ml,ï¿½1.65,8p / 100ml,0,8kJ,0,8,1.912045889,0,8p ,0.08, 100ml,0.08,1.65,20.625,,39.43594646,0,,,41.84,,,
Sainsbury's Lemonade Juice Drink 1L (Sugar levy applied),https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-lemonade-juice-drink-1l,ï¿½1.50,15p / 100ml,0,196kJ,0,196,46.84512428,0,15p ,0.15, 100ml,0.15,1.5,10,,468.4512428,0,,,3.202040816,,,
Monster Energy Ultra 4x500ml,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/monster-energy-ultra-4x500ml,ï¿½4.25,21p / 100ml,0g,10kJ,0,10,2.390057361,0,21p ,0.21, 100ml,0.21,4.25,20.23809524,,48.3702085,0,,,87.864,,,
Belvoir Fresh Root Ginger Beer 750ml (Sugar levy applied),https://www.sainsburys.co.uk/shop/gb/groceries/product/details/belvoir-fresh-root-ginger-beer-750ml,ï¿½2.70,36p / 100ml,0g,137/32,0,137,32.74378585,0,36p ,0.36, 100ml,0.36,2.7,7.5,,245.5783939,0,,,10.99445255,,,
Sainsbury's Cranberry Juice Drink No Added Sugar 1L,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-cranberry-juice--no-added-sugar-1l,ï¿½1.25,13p / 100ml,0g,41kJ,0,41,9.799235182,0,13p ,0.13, 100ml,0.13,1.25,9.615384615,,94.22341521,0,,,13.26634146,,,
Sainsbury's Olive Oil Light In Colour 1L,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-olive-oil--light-in-colour-1l,ï¿½3.00,30p / 100ml,0g,3384kJ,0,3384,808.7954111,0,30p ,0.3, 100ml,0.3,3,10,,8087.954111,0,,,0.370921986,,,
Sainsbury's Sunflower Oil SO Organic 1L,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-sunflower-oil--organic-1l,ï¿½3.10,31p / 100ml,0g,3408kJ,0,3408,814.5315488,0,31p ,0.31, 100ml,0.31,3.1,10,,8145.315488,0,,,0.380586854,,,
Fruit Shoot Hydro Apple & Raspberry Kids Water Drink 8x200ml,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/robinsons-fruit-shoot-hydro-spring-water-apple---raspberry--no-added-sugar-8x200ml,ï¿½2.00,13p / 100ml,0g,3kJ/0.7kcal,0,3,0.717017208,0,13p ,0.13, 100ml,0.13,2,15.38461538,,11.03103398,0,,,181.3066667,,,
Capri-Sun Orange 4 x 200ml,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/capri-sun-orange-4-x-200ml,ï¿½1.95,24p / 100ml,0g,89kJ,0,89,21.27151052,0,24p ,0.24, 100ml,0.24,1.95,8.125,,172.8310229,0,,,11.28269663,,,
Fox's Glacier Mints 200g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/foxs-glacier-mnts-200g,ï¿½1.00,50p / 100g,0 g,1634 kJ/385 kcal,0,1634,390.5353729,0,50p ,0.5, 100g,0.5,1,2,,781.0707457,0,,,1.280293758,,,
Fanta Zero Fruit Twist 2L,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/fanta-fruit-twist-zero-2l,ï¿½1.85,9p / 100ml,0g,13kJ,0,13,3.10707457,0,9p ,0.09, 100ml,0.09,1.85,20.55555556,,63.86764394,0,,,28.96615385,,,
Sainsbury's Balsamic Vinegar of Modena 500ml,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-balsamic-vinegar-500ml,ï¿½2.75,ï¿½5.50 / ltr,0,375kJ,0,375,89.62715105,0,ï¿½5.50 ,5.5, ltr,0.55,2.75,5,,448.1357553,0,,,6.136533333,,,
Sainsbury's Brown Sauce 450g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-brown-sauce-450g,95p,21p / 100g,0,407kJ,0,407,97.27533461,0,21p ,0.21, 100g,0.21,0.95,4.523809524,,440.0550851,0,,,2.158820639,,,
Pepsi Max 1.5L,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/pepsi-max-15l-pet,ï¿½1.50,10p / 100ml,0g,2kJ/0.4kcal,0,2,0.478011472,0,10p ,0.1, 100ml,0.1,1.5,15,,7.170172084,0,,,209.2,,,
Sainsbury's Double Strength No Added Sugar Summer Fruits Squash 750ml,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-double-strength-summerfruits-squash-750ml--no-added-sugar,85p,11p / 100ml,0,10kJ,0,10,2.390057361,0,11p ,0.11, 100ml,0.11,0.85,7.727272727,,18.46862507,0,,,46.024,,,
Sainsbury's Green Food Colouring 38ml,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-green-food-colouring-38ml,85p,22p / 10ml,0g,1183kJ,0,1183,282.7437859,0,22p ,0.22, 10ml,0.22,0.85,3.863636364,,1092.419173,0,,,0.778089603,,,
Sainsbury's Gin & Rose Lemonade 250ml,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-gin---rose-lemonade-250ml,ï¿½1.25,ï¿½5.00 / ltr,0g,268kJ,0,268,64.05353729,0,ï¿½5.00 ,5, ltr,0.5,1.25,2.5,,160.1338432,0,,,7.805970149,,,
Robinsons Fruit Creations Exotic Pineapple Mango & Passion Fruit Squash 1L,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/robinsons-fruit-creations-exotic-pineapple--mango---passion-fruit-squash-1l,ï¿½1.50,15p / 100ml,0g,12kJ/3kcal,0,12,2.868068834,0,15p ,0.15, 100ml,0.15,1.5,10,,28.68068834,0,,,52.3,,,
Billington's Demerara Sugar 1kg,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/billingtons-demerara-sugar-1kg,ï¿½2.25,ï¿½2.25 / kg,0g,1690kJ,0,1690,403.9196941,0,ï¿½2.25 ,2.25, kg,0.225,2.25,10,,4039.196941,0,,,0.55704142,,,
Sainsbury's Sweetened Coconut Drink 1L,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-coconut-drink-1l,95p,95p / ltr,0,76kJ,0,76,18.16443595,0,95p ,0.95, ltr,0.095,0.95,10,,181.6443595,0,,,5.23,,,
Sainsbury's Gin & Diet Tonic 250ml,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-gin---diet-tonic-250ml,ï¿½1.00,ï¿½4.00 / ltr,0g,113kJ,0,113,27.00764818,0,ï¿½4.00 ,4, ltr,0.4,1,2.5,,67.51912046,0,,,14.81061947,,,
Encona Thai Sweet Chilli Sauce Squeezy 285ml,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/encona-thai-sweet-chilli-sauce-squeezy-285ml,ï¿½2.00,70p / 100ml,0,654kJ/154kcal,0,654,156.3097514,0,70p ,0.7, 100ml,0.7,2,2.857142857,,446.5992898,0,,,4.478287462,,,
Sainsbury's Thick Cut Orange & Ginger Marmalade 454g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-thick-cut-orange---ginger-marmalade-454g,60p,13p / 100g,0,1112kJ,0,1112,265.7743786,0,13p ,0.13, 100g,0.13,0.6,4.615384615,,1226.650978,0,,,0.489136691,,,
Schweppes Bitter Lemon 1L,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/schweppes-bitter-lemon-1l,ï¿½1.50,15p / 100ml,0g,82kJ,0,82,19.59847036,0,15p ,0.15, 100ml,0.15,1.5,10,,195.9847036,0,,,7.653658537,,,
Sainsbury's Balsamic Dressing Taste the Difference 255ml,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-balsamic-dressing--taste-the-difference-255ml,ï¿½1.75,69p / 100ml,0,1317kJ,0,1317,314.7705545,0,69p ,0.69, 100ml,0.69,1.75,2.536231884,,798.3311165,0,,,2.192072893,,,
Sainsbury's No Added Sugar Tropical Crush Drink 2L,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-no-added-sugar-tropical-crush-drink-2l,70p,4p / 100ml,0,15kJ,0,15,3.585086042,0,4p ,0.04, 100ml,0.04,0.7,17.5,,62.73900574,0,,,11.15733333,,,
Ricola Sugar Free Elderflower Drops 45g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/ricola-elderflower-drops-45g,ï¿½1.30,ï¿½2.89 / 100g,0 g,992 kJ/ 238 kcal,0,992,237.0936903,0,ï¿½2.89 ,2.89, 100g,2.89,1.3,0.44982699,,106.6511409,0,,,12.18927419,,,
Branston Original Pickle 720g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/branston-original-pickle-720g-6338378-p-44,ï¿½2.50,35p / 100g,0,667kJ/157kcal,0,667,159.416826,0,35p ,0.35, 100g,0.35,2.5,7.142857143,,1138.691614,0,,,2.195502249,,,
Ricola Sugar Free Lemon Mint Drops 45g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/ricola-lemon-mint-drops-45g,ï¿½1.30,ï¿½2.89 / 100g,0 g,986 kJ / 236 kcal,0,986,235.6596558,0,ï¿½2.89 ,2.89, 100g,2.89,1.3,0.44982699,,106.0060736,0,,,12.26344828,,,
Hubbards Foodstore Apple Juice From Concentrate 1L,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/hubbards-foodstore-apple-juice-from-concentrate-1l,59p,6p / 100ml,0g,193kJ,0,193,46.12810708,0,6p ,0.06, 100ml,0.06,0.59,9.833333333,,453.5930529,0,,,1.300725389,,,
Robinsons Fruit Creations & Barley Juicy Raspberry & Cranberry Squash 1L,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/robinsons-fruit-creations---barley-juicy-raspberry---cranberry-squash-1l,ï¿½1.50,15p / 100ml,0g,13kJ/3kcal,0,13,3.10707457,0,15p ,0.15, 100ml,0.15,1.5,10,,31.0707457,0,,,48.27692308,,,
Coca-Cola Zero Sugar 12x330ml,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/coca-cola-zero-sugar-12x330ml,ï¿½4.80,12p / 100ml,0g,1.4kJ,0,4,0.956022945,0,12p ,0.12, 100ml,0.12,4.8,40,,38.24091778,0,,,125.52,,,
Sainsbury's Signature Vegetable Stock 500g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-signature-vegetable-stock-500g,ï¿½1.70,34p / 100ml,0,19kJ,0,19,4.541108987,0,34p ,0.34, 100ml,0.34,1.7,5,,22.70554493,0,,,74.87157895,,,
Starburst Original Fruit Chews Sweets Pouch Bag 210g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/starburst-original-fruit-chews-sweets-210g,ï¿½1.35,69p / 100g,0 g,1720 kJ,0,1720,411.0898662,0,69p ,0.69, 100g,0.69,1.35,1.956521739,,804.3062599,0,,,1.678465116,,,
Sainsbury's Blackcurrant No Added Sugar 3x200ml,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-blackcurrant--no-added-sugar-3x250ml,80p,13p / 100ml,0,29kJ,0,29,6.931166348,0,13p ,0.13, 100ml,0.13,0.8,6.153846154,,42.65333137,0,,,18.75586207,,,
Crag & Glen Blended Scotch Whisky 1.5L,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-blended-whisky-15l,ï¿½23.50,ï¿½15.67 / ltr,0g,925kJ,0,925,221.0803059,0,ï¿½15.67 ,15.67, ltr,1.567,23.5,14.99680919,,3315.499164,0,,,7.087922162,,,
